일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec)
42354.70833,17.4,0.6,0.4,0.2,6.1
42354.75,17.3,0.6,0.4,0.3,5.9
42354.79167,17.2,0.6,0.4,0.2,6.3
42354.83333,17.4,0.6,0.5,0.3,6.2
42354.875,17.5,0.7,0.5,0.3,5.6
42354.91667,17.5,0.7,0.4,0.3,5.9
42354.95833,17.4,0.5,0.3,0.2,5.8
42355,17.4,0.5,0.3,0.2,6
42355.04167,17.3,0.6,0.4,0.2,6.8
42355.08333,17.2,0.7,0.5,0.3,7.7
42355.125,17.1,0.9,0.7,0.4,8.3
42355.16667,17.1,0.8,0.6,0.3,7
42355.20833,16.9,0.8,0.5,0.3,6.9
42355.25,16.4,0.7,0.6,0.3,6.6
42355.29167,16.3,0.9,0.7,0.4,7.3
42355.33333,16.4,1,0.7,0.4,6.2
42355.375,16.3,1.1,0.8,0.5,6.8
42355.41667,16.4,1,0.8,0.5,6.3
42355.45833,16.5,1,0.8,0.5,7
42355.5,16.4,1.4,0.9,0.6,6.7
42355.54167,16.4,1.3,1,0.6,7.3
42355.58333,16.5,1.3,1,0.6,7
42355.625,16.5,1.2,0.9,0.5,7.4
42355.66667,16.7,1.7,1,0.6,7.8
42355.70833,16.7,1.4,1.1,0.7,7.9
42355.75,16.6,1.6,1.1,0.7,8.1
42355.79167,16.6,1.5,1.2,0.7,8
42355.83333,16.7,1.7,1.3,0.8,8.3
42355.875,16.8,1.9,1.4,0.9,7.9
42355.91667,16.9,1.9,1.4,0.8,7.8
42355.95833,16.9,2.1,1.4,0.9,8
42356,16.9,1.9,1.4,0.8,8
42356.04167,16.8,1.6,1.4,0.9,8.1
42356.08333,16.9,1.8,1.4,0.9,8.3
42356.125,16.8,1.8,1.3,0.8,8
42356.16667,16.7,1.5,1.2,0.7,8.2
42356.20833,16.7,1.8,1.2,0.7,8.5
42356.25,16.6,1.5,1,0.6,7.8
42356.29167,16.6,1.3,1,0.6,8.3
42356.33333,16.6,1.4,1,0.6,8.4
42356.375,16.7,1.4,1,0.6,8.2
42356.41667,16.7,1.4,1,0.6,7.9
42356.45833,16.7,1.3,0.9,0.6,8.1
42356.5,16.7,1.3,0.9,0.5,7.7
42356.54167,16.8,1.1,0.8,0.5,7.7
42356.58333,16.8,1.3,0.9,0.5,7.8
42356.625,16.8,1.2,0.9,0.5,7.7
42356.66667,16.7,1.1,0.7,0.4,7.3
42356.70833,16.7,0.8,0.7,0.4,7.5
42356.75,16.7,0.8,0.6,0.4,7.5
42356.79167,16.7,0.8,0.6,0.4,7.1
42356.83333,16.7,0.9,0.6,0.4,7.3
42356.875,16.8,1,0.6,0.4,6.6
42356.91667,17,0.8,0.6,0.4,6.2
42356.95833,17.1,0.9,0.6,0.4,6.3
42357,17.2,0.9,0.6,0.4,6.1
42357.04167,17.2,1,0.7,0.4,6.3
42357.08333,17.1,0.8,0.7,0.4,6.7
42357.125,17.1,1,0.7,0.4,6.3
42357.16667,17.1,0.9,0.7,0.4,6.5
42357.20833,16.9,1,0.7,0.4,6.3
42357.25,16.8,1.1,0.7,0.5,6.2
42357.29167,16.7,1.1,0.8,0.5,6.2
42357.33333,16.7,1.2,0.8,0.5,6
42357.375,16.6,1.1,0.8,0.5,6
42357.41667,16.6,1,0.7,0.4,5.8
42357.45833,16.5,1.1,0.7,0.4,5.9
42357.5,16.7,1,0.7,0.4,6
42357.54167,16.9,0.9,0.7,0.4,6
42357.58333,17,0.9,0.7,0.4,5.7
42357.625,17,1,0.7,0.4,5.9
42357.66667,17.1,0.9,0.6,0.4,6.1
42357.70833,17,0.9,0.7,0.4,6.1
42357.75,17,1,0.7,0.4,6.3
42357.79167,16.9,1,0.7,0.5,6.3
42357.83333,16.9,1,0.8,0.5,7.2
42357.875,16.9,1,0.7,0.4,6.7
42357.91667,16.9,1.1,0.8,0.5,7
42357.95833,16.9,1.1,0.8,0.5,6.8
42358,16.9,1.2,0.9,0.6,7
42358.04167,16.9,1.1,0.9,0.6,7
42358.08333,16.9,1.2,0.9,0.6,6.8
42358.125,16.8,1.1,0.8,0.5,6.9
42358.16667,16.8,1.1,0.8,0.5,6.8
42358.20833,16.8,1,0.7,0.4,6.3
42358.25,16.8,1,0.7,0.4,6.8
42358.29167,16.7,0.9,0.7,0.4,6.4
42358.33333,16.7,0.9,0.6,0.4,6.1
42358.375,16.8,0.9,0.6,0.4,5.8
42358.41667,17,0.8,0.7,0.4,6.3
42358.45833,17,0.8,0.6,0.4,5.7
42358.5,16.8,0.7,0.6,0.4,5.7
42358.54167,16.8,0.8,0.5,0.3,5.2
42358.58333,16.9,0.8,0.6,0.3,5.4
42358.625,16.9,0.8,0.6,0.3,6.3
42358.66667,16.7,0.6,0.5,0.3,6.1
42358.70833,16.7,0.7,0.5,0.3,6.4
42358.75,16.7,0.7,0.5,0.3,6.6
42358.79167,16.6,0.6,0.5,0.3,6.4
42358.83333,16.5,0.7,0.5,0.3,6.2
42358.875,16.5,0.6,0.5,0.3,6.1
42358.91667,16.5,0.7,0.5,0.3,6.2
42358.95833,16.5,0.7,0.5,0.3,5.8
42359,16.5,0.6,0.5,0.3,5
42359.04167,16.5,0.5,0.4,0.3,5.7
42359.08333,16.5,0.5,0.4,0.3,5.6
42359.125,16.6,0.5,0.4,0.2,5.6
42359.16667,16.6,0.5,0.4,0.2,6.2
42359.20833,16.6,0.4,0.3,0.2,6.3
42359.25,16.5,0.4,0.3,0.2,6.2
42359.29167,16.5,0.5,0.3,0.2,6
42359.33333,16.5,0.7,0.4,0.3,4.5
42359.375,16.5,0.4,0.3,0.2,5
42359.41667,16.5,0.5,0.4,0.2,5
42359.45833,16.4,0.4,0.3,0.2,4.2
42359.5,16.5,0.4,0.2,0.2,4.9
42359.54167,16.8,0.4,0.3,0.2,4.3
42359.58333,16.8,0.4,0.3,0.2,4.6
42359.625,16.8,0.4,0.3,0.2,4
42359.66667,16.8,0.3,0.2,0.1,4.9
42359.70833,16.8,0.4,0.2,0.1,4.5
42359.75,16.8,0.3,0.2,0.1,4.6
42359.79167,16.8,0.4,0.2,0.2,4.4
42359.83333,16.7,0.3,0.2,0.2,4.8
42359.875,16.7,0.3,0.2,0.1,4.6
42359.91667,16.6,0.3,0.2,0.1,4.7
42359.95833,16.6,0.3,0.2,0.1,4.3
42360,16.6,0.3,0.2,0.1,5
42360.04167,16.6,0.3,0.2,0.1,4.9
42360.08333,16.5,0.3,0.2,0.1,4.2
42360.125,16.5,0.3,0.3,0.2,3.4
42360.16667,16.5,0.4,0.2,0.2,4.2
42360.20833,16.5,0.3,0.2,0.1,3.8
42360.25,16.4,0.4,0.3,0.2,4.3
42360.29167,16.4,0.4,0.3,0.2,4.5
42360.33333,16.4,0.4,0.3,0.2,4.4
42360.375,16.5,0.4,0.3,0.2,4
42360.41667,16.5,0.4,0.4,0.2,4
42360.45833,16.5,0.5,0.3,0.2,4.1
42360.5,16.6,0.5,0.3,0.2,4
42360.54167,16.7,0.5,0.4,0.3,3.9
42360.58333,16.8,0.4,0.3,0.2,3.8
42360.625,17,0.4,0.3,0.2,4.1
42360.66667,17.2,0.4,0.3,0.2,4.4
42360.70833,17,0.4,0.3,0.2,4.3
42360.75,17,0.4,0.3,0.2,4
42360.79167,17.1,0.4,0.3,0.2,3.7
42360.83333,17.1,0.5,0.3,0.2,3.8
42360.875,17,0.5,0.3,0.2,3.4
42360.91667,16.9,0.5,0.4,0.2,3.2
42360.95833,17,0.6,0.4,0.2,3.3
42361,16.9,0.5,0.4,0.2,3.5
42361.04167,16.8,0.5,0.3,0.2,3.8
42361.08333,16.6,0.4,0.3,0.2,3.9
42361.125,16.8,0.4,0.3,0.2,3.8
42361.16667,16.7,0.4,0.3,0.2,4
42361.20833,16.6,0.5,0.3,0.2,4
42361.25,16.5,0.6,0.4,0.3,4
42361.29167,16.4,0.6,0.4,0.3,4.1
42361.33333,16.4,0.7,0.5,0.3,4.1
42361.375,16.3,0.7,0.5,0.3,4.4
42361.41667,17.5,0.8,0.6,0.4,4.6
42361.45833,17,0.8,0.6,0.4,4.9
42361.5,16.7,0.9,0.7,0.4,5
42361.54167,16.4,0.9,0.6,0.4,5.1
42361.625,17.1,0.9,0.6,0.4,5.3
42361.66667,17,0.9,0.6,0.4,5.2
42361.70833,18.8,0.9,0.7,0.5,5.4
42361.75,18.6,0.9,0.7,0.4,5.3
42361.79167,18.7,0.9,0.7,0.4,5.2
42361.83333,18.4,1,0.8,0.5,5.4
42361.875,18.3,1.2,0.8,0.5,5.3
42361.91667,18,1,0.7,0.5,5.2
42361.95833,17.7,1,0.7,0.5,5.2
42362,17.7,0.9,0.6,0.4,5.3
42362.04167,17.7,0.9,0.6,0.4,5.6
42362.08333,17.3,0.8,0.6,0.4,5.7
42362.125,17.2,0.9,0.6,0.4,5.7
42362.16667,17.2,0.9,0.7,0.4,5.7
42362.20833,17.2,0.9,0.7,0.4,5.8
42362.25,17.3,1,0.7,0.4,5.8
42362.29167,17.4,1.1,0.7,0.4,5.7
42362.33333,17.8,1.1,0.8,0.5,5.9
42362.375,17.6,1.1,0.7,0.4,5.6
42362.41667,17.4,1,0.8,0.5,5.7
42362.45833,17.5,0.9,0.8,0.5,5.8
42362.5,17.8,1.2,0.8,0.5,5.5
42362.54167,17.6,1.1,0.8,0.5,5.7
42362.58333,17.7,0.9,0.7,0.4,5.6
42362.625,17.7,0.9,0.7,0.4,5.6
42362.66667,17.7,0.7,0.6,0.4,5.5
42362.70833,17.6,0.7,0.6,0.4,5.8
42362.75,17.6,0.7,0.5,0.3,5.3
42362.79167,17.7,0.7,0.5,0.3,5.3
42362.83333,17.8,0.7,0.5,0.3,5.3
42362.875,17.8,0.8,0.5,0.3,4.9
42362.91667,17.5,0.6,0.4,0.3,3.7
42362.95833,17.5,0.5,0.3,0.2,3.5
42363,17.4,0.5,0.3,0.2,3.6
42363.04167,17.3,0.5,0.3,0.2,3.3
42363.08333,17.3,0.4,0.2,0.1,5.2
42363.125,17.3,0.4,0.3,0.2,4.2
42363.16667,17.3,0.4,0.3,0.2,4.5
42363.20833,17.6,0.5,0.3,0.2,4.2
42363.25,17.6,0.6,0.4,0.3,4.7
42363.29167,17.5,0.7,0.5,0.3,5.7
42363.33333,17.5,0.9,0.7,0.5,6.1
42363.375,17.4,1.1,0.8,0.5,6.1
42363.41667,17.3,1,0.7,0.4,6.2
42363.45833,17.2,0.9,0.7,0.4,6.1
42363.5,17.2,1.2,0.9,0.5,6.8
42363.54167,17.1,1.2,0.9,0.5,7.1
42363.58333,17,1.3,0.9,0.6,6.9
42363.625,17.1,1.1,0.8,0.5,6.5
42363.66667,17.1,1.1,0.7,0.4,6
42363.70833,17.2,0.9,0.7,0.4,6.2
42363.75,17.2,0.9,0.6,0.4,6.2
42363.79167,16.9,0.8,0.7,0.4,7.2
42363.83333,17,1.2,0.9,0.6,7.9
42363.875,17.1,1.6,1.2,0.8,8.1
42363.91667,17,1.4,1.1,0.6,7.6
42363.95833,17,1.8,1.3,0.8,8.4
42364,16.9,1.4,1.3,0.8,8.2
42364.04167,16.9,1.5,1.2,0.7,8.2
42364.08333,16.8,1.7,1.3,0.8,8.6
42364.125,16.8,1.4,1.1,0.7,7.9
42364.16667,16.8,1.1,1,0.6,7.8
42364.20833,16.8,1.3,0.9,0.5,7.6
42364.25,16.9,1.1,0.8,0.5,7.3
42364.29167,16.8,1.2,0.9,0.6,7.3
42364.33333,17,1.1,0.8,0.5,6.6
42364.375,17.1,1.2,0.8,0.5,6.5
42364.41667,17.1,1,0.8,0.5,6.1
42364.45833,17,1.1,0.7,0.5,6
42364.5,17,0.9,0.7,0.4,5.7
42364.54167,17,0.9,0.6,0.4,5.1
42364.58333,16.9,0.8,0.6,0.3,5.8
42364.625,16.8,0.7,0.5,0.3,6.2
42364.66667,16.8,0.7,0.4,0.3,5.7
42364.70833,16.7,0.6,0.4,0.2,6.7
42364.75,16.7,0.5,0.3,0.2,5.9
42364.79167,16.6,0.4,0.4,0.2,6.8
42364.83333,16.8,0.5,0.4,0.2,6.9
42364.875,16.8,0.4,0.3,0.2,7
42364.91667,16.6,0.5,0.3,0.2,6.4
42364.95833,16.6,0.4,0.3,0.2,6.3
42365,16.5,0.5,0.3,0.2,5.7
42365.04167,16.4,0.4,0.3,0.2,5.4
42365.08333,16.4,0.4,0.3,0.2,5.1
42365.125,16.3,0.6,0.3,0.2,6.5
42365.16667,16.3,0.5,0.3,0.2,6.9
42365.20833,16.3,0.6,0.4,0.2,6.9
42365.25,16.4,0.7,0.5,0.3,7.4
42365.29167,16.4,0.8,0.6,0.3,7.3
42365.33333,16.4,0.8,0.6,0.4,6.7
42365.375,16.4,1,0.7,0.4,6.3
42365.41667,16.4,1,0.8,0.5,6.2
42365.45833,16.4,1.4,1,0.6,7.8
42365.5,16.4,1.6,1.2,0.7,8.5
42365.54167,16.4,1.8,1.3,0.8,8.2
42365.58333,16.4,1.7,1.3,0.8,8.2
42365.625,16.4,1.8,1.3,0.8,8.3
42365.66667,16.3,1.7,1.3,0.8,7.8
42365.70833,16.4,1.6,1.2,0.8,7.3
42365.75,16.3,1.7,1.3,0.8,7.3
42365.79167,16.3,1.6,1.2,0.7,7.3
42365.83333,16.3,1.8,1.2,0.8,7.5
42365.875,16.3,1.8,1.2,0.7,7.1
42365.91667,16.2,1.7,1.2,0.7,7.2
42365.95833,16.2,1.5,1.2,0.7,7.2
42366,16.2,1.7,1.1,0.7,7.6
42366.04167,16.2,1.6,1.1,0.7,7.3
42366.08333,16.1,1.6,1,0.6,6.8
42366.125,16.2,1.3,0.9,0.6,6.7
42366.16667,16.1,1.1,0.9,0.5,6.6
42366.20833,16.1,1.2,0.8,0.5,7.1
42366.25,16,1.2,0.8,0.5,6.8
42366.29167,15.9,1.1,0.7,0.5,7
42366.33333,16,1,0.7,0.4,6.8
42366.375,16,0.9,0.7,0.4,7
42366.41667,15.9,1,0.7,0.4,5.7
42366.45833,15.9,0.8,0.6,0.4,5.8
42366.5,15.9,0.8,0.7,0.4,6.6
42366.54167,15.9,0.8,0.6,0.4,6.3
42366.58333,15.9,0.8,0.6,0.4,5.6
42366.625,15.9,0.8,0.6,0.4,5.9
42366.66667,15.9,0.7,0.6,0.4,6
42366.70833,15.8,0.8,0.6,0.3,5.9
42366.75,15.8,0.9,0.5,0.3,6.1
42366.79167,15.8,0.7,0.6,0.4,6.7
42366.83333,15.8,0.7,0.5,0.3,5.9
42366.875,15.8,0.7,0.6,0.4,5.2
42366.91667,15.9,0.8,0.6,0.3,5.9
42366.95833,15.8,0.8,0.5,0.3,6.2
42367,15.7,0.7,0.5,0.3,6
42367.04167,15.7,0.7,0.5,0.3,5.3
42367.08333,15.6,0.7,0.5,0.3,5.4
42367.125,15.6,0.7,0.5,0.3,5.4
42367.16667,15.6,0.7,0.6,0.4,5.3
42367.20833,15.5,0.8,0.6,0.4,5.6
42367.25,15.5,0.9,0.6,0.3,5.9
42367.29167,15.5,0.7,0.5,0.3,6
42367.33333,15.5,0.8,0.5,0.3,5.9
42367.375,15.5,0.9,0.6,0.3,6.2
42367.41667,15.5,0.7,0.6,0.4,6
42367.45833,15.5,0.9,0.6,0.4,7.1
42367.5,15.5,0.9,0.6,0.4,6.4
42367.54167,15.6,0.8,0.6,0.4,6.7
42367.58333,15.7,0.9,0.7,0.4,7
42367.625,15.7,0.9,0.6,0.4,6.3
42367.66667,15.6,0.8,0.6,0.4,5.7
42367.70833,15.6,0.8,0.5,0.3,6.4
42367.75,15.5,0.7,0.6,0.4,6.7
42367.79167,15.5,0.8,0.5,0.3,6.2
42367.83333,15.5,0.7,0.5,0.3,6.2
42367.875,15.5,0.8,0.5,0.3,6
42367.91667,15.5,0.7,0.5,0.3,6.2
42367.95833,15.4,0.6,0.5,0.3,5.9
42368,15.4,0.7,0.5,0.3,6.5
42368.04167,15.4,0.6,0.5,0.3,6.9
42368.08333,15.2,0.8,0.5,0.3,6.5
42368.125,15.3,0.7,0.5,0.3,6.6
42368.16667,15.3,0.7,0.5,0.3,6.6
42368.20833,15.3,0.7,0.5,0.3,6.5
42368.25,15.3,0.8,0.5,0.3,6.9
42368.29167,15.3,0.9,0.6,0.3,6.5
42368.33333,15.4,0.8,0.5,0.3,6
42368.375,15.2,0.9,0.6,0.3,6.6
42368.41667,15.2,0.8,0.6,0.3,6
42368.45833,15.3,0.8,0.5,0.3,6.4
42368.5,15.4,1,0.6,0.4,6.8
42368.54167,15.6,1,0.6,0.4,6.4
42368.58333,15.5,0.9,0.6,0.4,6.6
42368.625,16.2,0.9,0.6,0.4,6.8
42368.66667,17,0.8,0.6,0.4,6.6
42368.70833,16.8,0.7,0.6,0.4,6.5
42368.75,16.6,1,0.6,0.4,6.3
42368.79167,16.5,1.1,0.7,0.5,6.6
42368.83333,16.3,0.8,0.6,0.4,6.6
42368.875,16.3,0.8,0.6,0.4,6.5
42368.91667,16.2,0.7,0.5,0.3,6.3
42368.95833,16.1,0.9,0.6,0.4,6.6
42369,15.9,0.6,0.5,0.3,6.4
42369.04167,15.8,0.7,0.5,0.3,6.3
42369.08333,15.8,0.8,0.5,0.3,6.5
42369.125,15.7,0.6,0.4,0.3,5.6
42369.16667,15.7,0.6,0.4,0.2,5.4
42369.20833,15.7,0.5,0.4,0.2,5.1
42369.25,15.6,0.6,0.4,0.2,4.8
42369.29167,15.6,0.5,0.3,0.2,6
42369.33333,15.5,0.5,0.3,0.2,6.1
42369.375,15.5,0.5,0.3,0.2,5.2
42369.41667,15.3,0.5,0.4,0.2,5
42369.45833,15.3,0.6,0.4,0.2,4.6
42369.5,15.3,0.6,0.4,0.3,4.3
42369.54167,15.4,0.6,0.4,0.3,4.5
42369.58333,15.4,0.6,0.5,0.3,4.6
42369.625,15.4,0.9,0.6,0.4,4.6
42369.66667,15.4,0.7,0.5,0.3,4.9
42369.70833,15.6,0.7,0.5,0.3,5.5
42369.75,15.9,0.7,0.6,0.4,5.9
42369.79167,16,0.9,0.6,0.4,5.6
42369.83333,15.9,0.8,0.7,0.4,5.6
42369.875,15.9,0.7,0.6,0.3,5.7
42369.91667,16,0.7,0.5,0.3,5.2
42369.95833,15.8,0.7,0.5,0.3,5.4
