일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec)
42327.625,,2.8,1.9,1.1,7.8
42327.66667,,2.5,1.8,1.1,7.7
42327.70833,,2.2,1.7,1,7.8
42327.75,,2.3,1.6,1,7.6
42327.79167,,2,1.6,1,7.5
42327.83333,,2.1,1.5,1,7.4
42327.875,,1.9,1.4,0.9,7.3
42327.91667,,1.9,1.4,0.9,6.9
42327.95833,,1.8,1.4,0.9,6.8
42328,,1.6,1.3,0.8,6.8
42328.04167,,1.9,1.2,0.8,6.8
42328.08333,,1.5,1.2,0.8,7
42328.125,,1.6,1.2,0.7,6.9
42328.16667,,1.3,1,0.7,6.7
42328.20833,,1.4,1.1,0.7,6.6
42328.25,,1.1,0.9,0.6,6.7
42328.29167,,1.4,1,0.6,6.9
42328.33333,,1,0.8,0.5,6.3
42328.375,,1.2,0.9,0.6,6.7
42328.41667,,1.1,0.8,0.5,6.5
42328.45833,,1,0.8,0.5,6.9
42328.5,,0.9,0.7,0.5,6.7
42328.54167,,1,0.7,0.5,6.6
42328.58333,,1,0.7,0.4,6.6
42328.625,,0.9,0.7,0.4,6.4
42328.66667,,1,0.7,0.4,6.4
42328.70833,,0.9,0.6,0.4,6.3
42328.75,,0.8,0.6,0.4,6.2
42328.79167,,0.8,0.6,0.4,6.3
42328.83333,,0.8,0.6,0.4,6.4
42328.875,,1,0.6,0.4,6.2
42328.91667,,0.8,0.6,0.4,6.1
42328.95833,,0.7,0.6,0.4,5.9
42329,,0.7,0.5,0.3,5.9
42329.04167,,0.6,0.5,0.3,5.3
42329.08333,,0.7,0.5,0.3,5.5
42329.125,,0.6,0.5,0.3,5.5
42329.16667,,0.6,0.5,0.3,5.9
42329.20833,,0.8,0.6,0.4,6.1
42329.25,,0.8,0.6,0.3,6.4
42329.29167,,0.8,0.6,0.4,6.9
42329.33333,,0.8,0.7,0.4,6.9
42329.375,,1,0.7,0.4,6.6
42329.41667,,1.2,0.7,0.4,6.8
42329.45833,,1.1,0.8,0.5,7.1
42329.5,,1,0.7,0.5,6.9
42329.54167,,0.9,0.7,0.4,6.3
42329.58333,,1.1,0.8,0.5,6.3
42329.625,,1,0.8,0.5,6
42329.66667,,1.1,0.8,0.5,5.8
42329.70833,,1.1,0.8,0.5,5.5
42329.75,,1.1,0.7,0.5,5.8
42329.79167,,1,0.7,0.5,6.1
42329.83333,,1.1,0.7,0.5,6
42329.875,,1,0.7,0.5,5.9
42329.91667,,1.1,0.7,0.5,6
42329.95833,,1.2,0.8,0.5,5.7
42330,,1.3,1,0.6,6.3
42330.04167,,1.6,1.1,0.7,6.7
42330.08333,,1.4,1.1,0.7,6.4
42330.125,,1.8,1.4,0.9,6.9
42330.16667,,1.7,1.3,0.8,6.5
42330.20833,,1.8,1.4,0.9,6.5
42330.25,,1.8,1.4,0.9,6.2
42330.29167,,1.7,1.3,0.8,5.9
42330.33333,,1.7,1.3,0.8,5.9
42330.375,,1.8,1.4,0.9,6.1
42330.41667,,1.8,1.4,0.8,6.4
42330.45833,,1.9,1.4,0.9,6.5
42330.5,,1.9,1.3,0.8,6.2
42330.54167,,1.6,1.3,0.7,6.3
42330.58333,,1.9,1.2,0.7,6.6
42330.625,,1.7,1.2,0.8,6.9
42330.66667,,1.5,1.2,0.8,6.6
42330.70833,,2.2,1.4,0.9,7.1
42330.75,,2,1.5,0.9,7.2
42330.79167,,2.2,1.6,1,6.9
42330.83333,,2.4,2,1.2,6.9
42330.875,,2.8,2,1.2,6.9
42330.91667,,2.4,2.1,1.3,7.1
42330.95833,,3.1,2.1,1.3,7.1
42331,,2.4,2,1.3,7
42331.04167,,2.9,1.8,1.1,6.8
42331.08333,,2.4,1.7,1,6.8
42331.125,,2.3,1.8,1,7.3
42331.16667,,2.1,1.7,1.1,7.2
42331.20833,,2.1,1.7,1,6.9
42331.25,,2.4,1.7,1.1,6.9
42331.29167,,2.1,1.6,1,6.8
42331.33333,,2.7,2,1.3,7.1
42331.375,,2.6,2.1,1.3,7.2
42331.41667,,2.9,2,1.3,7.4
42331.45833,,2.9,2,1.3,7.8
42331.5,,2.5,2.1,1.3,7.7
42331.54167,,2.4,1.8,1.2,7.4
42331.58333,,2.3,1.8,1.1,7.6
42331.625,,2.5,2.1,1.3,7.5
42331.66667,,2.3,1.8,1.2,7.6
42331.70833,,2.1,1.8,1.1,7.4
42331.75,,2.2,1.8,1.2,7.7
42331.79167,,2.2,1.9,1.2,8.2
42331.83333,,2.7,1.8,1.2,8.2
42331.875,,3.1,2.2,1.3,8.1
42331.91667,,2.3,2,1.2,8.3
42331.95833,,2.5,1.8,1.1,7.9
42332,,2.5,1.8,1.1,8.2
42332.04167,,2.3,1.8,1.1,8.2
42332.08333,,2.3,1.9,1.2,8.2
42332.125,,2.3,1.7,1.1,8
42332.16667,,2.1,1.7,1.1,8.3
42332.20833,,2,1.5,0.9,8.2
42332.25,,1.7,1.4,0.8,8.1
42332.29167,,2.1,1.6,1,8.2
42332.33333,,2.2,1.6,1,7.9
42332.375,,2.7,1.8,1.1,7.9
42332.41667,,2.4,1.9,1.2,7.6
42332.45833,,3,2.1,1.3,7.7
42332.5,,2.8,2.2,1.4,7.6
42332.54167,,2.8,2.3,1.5,7.6
42332.58333,,2.5,2,1.2,7.4
42332.625,,3,2.3,1.5,7.9
42332.66667,,2.9,2.4,1.6,8.3
42332.70833,,3.3,2.5,1.6,8.1
42332.75,,3,2.3,1.5,8.5
42332.79167,,3.2,2.5,1.7,8.2
42332.83333,,3.4,2.5,1.6,7.9
42332.875,,2.9,2.4,1.5,8.1
42332.91667,,3.3,2.5,1.6,8.5
42332.95833,,3.4,2.4,1.5,7.7
42333,,3.1,2.6,1.6,8.5
42333.04167,,2.6,2.2,1.4,7.8
42333.08333,,2.7,2.2,1.4,7.5
42333.125,,2.8,2.3,1.5,8.1
42333.16667,,2.8,2.2,1.4,8.2
42333.20833,,2.7,2,1.3,7.8
42333.25,,2.6,2.1,1.3,8
42333.29167,,2.5,2,1.3,7.7
42333.33333,,2.5,1.9,1.2,7.2
42333.375,,2.4,1.9,1.2,7.1
42333.41667,,2.4,1.9,1.2,7.3
42333.45833,,2.3,1.9,1.2,7.5
42333.5,,2.5,1.7,1.1,7.2
42333.54167,,2.2,1.6,1,7.2
42333.58333,,2.2,1.6,1,7.2
42333.625,,2.1,1.6,1,7.6
42333.66667,,2,1.4,0.9,7.2
42333.70833,,1.9,1.5,1,7.4
42333.75,,2,1.5,1,7.7
42333.79167,,2,1.6,1,8.1
42333.83333,,2.2,1.4,0.8,7.9
42333.875,,1.8,1.3,0.8,7.5
42333.91667,,1.7,1.2,0.8,7.8
42333.95833,,1.6,1.3,0.8,7.8
42334,,1.7,1.2,0.8,7.7
42334.04167,,1.6,1.2,0.8,7.7
42334.08333,,1.4,1,0.6,7.6
42334.125,,1.3,1.1,0.7,7.7
42334.16667,,1.3,1,0.6,7.4
42334.20833,,1.2,0.8,0.5,7.1
42334.25,,1.1,0.8,0.5,7.3
42334.29167,,1.1,0.8,0.5,7.2
42334.33333,,1.1,0.8,0.4,6.7
42334.375,,1,0.8,0.4,7.1
42334.41667,,1.3,0.9,0.6,7.6
42334.45833,,1.4,1,0.6,7.9
42334.5,,1.2,0.8,0.5,6.8
42334.54167,,1.3,0.9,0.6,6.7
42334.58333,,1.2,0.9,0.5,7.7
42334.625,,1.1,0.8,0.5,7.9
42334.66667,,1.1,0.7,0.4,7
42334.70833,,1.2,0.8,0.5,8.1
42334.75,,1.2,0.9,0.5,8.7
42334.79167,,1.3,0.8,0.5,7.9
42334.83333,,1,0.7,0.4,7.5
42334.875,,1.3,0.9,0.5,8.8
42334.91667,,1.3,1,0.6,8.9
42334.95833,,1.5,1.3,0.8,9.7
42335,,2.1,1.3,0.7,10
42335.04167,,1.8,1.4,0.8,10
42335.08333,,1.8,1.6,0.9,10.1
42335.125,,2.2,1.7,1,10.8
42335.16667,,2.2,1.8,1,10.5
42335.20833,,2,1.6,0.9,9.8
42335.25,,2.1,1.4,0.8,9.7
42335.29167,,2.1,1.4,0.8,9.8
42335.33333,,2.1,1.4,0.8,9.7
42335.375,,2,1.6,0.9,10.4
42335.41667,,2,1.5,0.9,9.9
42335.45833,,2.1,1.4,0.8,9.1
42335.5,,1.9,1.5,0.9,8.9
42335.54167,,2.1,1.6,0.9,9.6
42335.58333,,2.2,1.5,0.9,8.3
42335.625,,2.3,1.5,0.9,9.1
42335.66667,,2.1,1.4,0.9,9.8
42335.70833,,2.1,1.4,0.8,9.9
42335.75,,2,1.3,0.7,10
42335.79167,,1.5,1.3,0.8,10.3
42335.83333,,2,1.4,0.8,9
42335.875,,2.1,1.3,0.8,8.7
42335.91667,,1.7,1.1,0.7,8.2
42335.95833,,1.7,1,0.6,9.8
42336,,1.9,1.2,0.7,9.8
42336.04167,,1.4,1.1,0.6,9
42336.08333,,1.3,1.1,0.6,9.2
42336.125,,1.6,1,0.6,8.3
42336.16667,,1.3,1,0.6,8.4
42336.20833,,1.5,1,0.6,8.3
42336.25,,1.5,1,0.6,8.8
42336.29167,,1.5,1,0.6,8.9
42336.33333,,1.3,1.1,0.7,8.2
42336.375,,1.3,1,0.7,8.3
42336.41667,,1.4,1.1,0.7,8.9
42336.45833,,1.5,1.1,0.7,8.3
42336.5,,1.2,1,0.6,7.9
42336.54167,,1.5,1.1,0.7,8.5
42336.58333,,1.3,1,0.7,8.2
42336.625,,1.4,1,0.6,8.2
42336.66667,,1.4,1,0.6,8.7
42336.70833,,1.5,1.1,0.7,8.4
42336.75,,1.6,1.2,0.7,8.7
42336.79167,,1.5,1.1,0.7,8.8
42336.83333,,1.5,1.1,0.7,9.2
42336.875,,1.6,1.1,0.7,9.3
42336.91667,,1.2,1,0.6,9.1
42336.95833,,1.4,1,0.7,9.4
42337,,1.4,1.1,0.7,10.3
42337.04167,,1.5,1.2,0.7,10.3
42337.08333,,1.6,1.1,0.7,10
42337.125,,1.8,1.2,0.7,10.1
42337.16667,,1.4,1.2,0.7,10.3
42337.20833,,1.8,1.5,0.9,10.5
42337.25,,1.6,1.5,1,10.2
42337.29167,,2.1,1.7,1,10.5
42337.33333,,1.7,1.4,0.9,10.1
42337.375,,1.9,1.4,0.8,10.2
42337.41667,,1.6,1.4,0.9,10
42337.45833,,1.5,1.3,0.8,9.7
42337.5,,1.4,1.1,0.7,9.3
42337.54167,,1.4,1,0.7,8.8
42337.58333,,1.2,1,0.6,9
42337.625,,1.3,1,0.6,8.5
42337.66667,,1.5,1,0.7,8.6
42337.70833,,1.6,1.1,0.7,8.9
42337.75,,1.4,1.1,0.7,8.5
